time,.x,.y,.z
2020/02/28/12:49:45.351876,0.0157548524439,0.0619200989604,0.0326119959354
2020/02/28/12:49:45.385209,0.0157548524439,0.0619200989604,0.0326119959354
2020/02/28/12:49:45.418545,0.0157548524439,0.0619200989604,0.0326119959354
2020/02/28/12:49:45.451921,0.0157317779958,0.0619539245963,0.03266890347
2020/02/28/12:49:45.485235,0.0157317779958,0.0619539245963,0.03266890347
2020/02/28/12:49:45.518809,0.0157317779958,0.0619539245963,0.03266890347
2020/02/28/12:49:45.551898,0.0156305097044,0.0620216280222,0.0328915715218
2020/02/28/12:49:45.585221,0.0156305097044,0.0620216280222,0.0328915715218
2020/02/28/12:49:45.618503,0.0156305097044,0.0620216280222,0.0328915715218
2020/02/28/12:49:45.651898,0.015708681196,0.0619580708444,0.0327246487141
2020/02/28/12:49:45.685202,0.015708681196,0.0619580708444,0.0327246487141
2020/02/28/12:49:45.718548,0.015708681196,0.0619580708444,0.0327246487141
2020/02/28/12:49:45.751848,0.0157154388726,0.0619260184467,0.0326840430498
2020/02/28/12:49:45.785159,0.0157154388726,0.0619260184467,0.0326840430498
2020/02/28/12:49:45.818536,0.0157154388726,0.0619260184467,0.0326840430498
2020/02/28/12:49:45.851863,0.0157139971852,0.0619302429259,0.0326790213585
2020/02/28/12:49:45.885212,0.0157139971852,0.0619302429259,0.0326790213585
2020/02/28/12:49:45.918551,0.0157139971852,0.0619302429259,0.0326790213585
2020/02/28/12:49:45.951850,0.0156605541706,0.0620274357498,0.0328669101
2020/02/28/12:49:45.985166,0.0156605541706,0.0620274357498,0.0328669101
2020/02/28/12:49:46.018506,0.0156605541706,0.0620274357498,0.0328669101
2020/02/28/12:49:46.051918,0.0157349668443,0.0619047619402,0.032638117671
2020/02/28/12:49:46.085164,0.0157349668443,0.0619047619402,0.032638117671
2020/02/28/12:49:46.118507,0.0157349668443,0.0619047619402,0.032638117671
2020/02/28/12:49:46.151849,0.0157314948738,0.0619004406035,0.032624155283
2020/02/28/12:49:46.185160,0.0157314948738,0.0619004406035,0.032624155283
2020/02/28/12:49:46.218596,0.0157314948738,0.0619004406035,0.032624155283
2020/02/28/12:49:46.344824,0.0156734399498,0.0619165562093,0.0327594727278
2020/02/28/12:49:46.378293,0.0156734399498,0.0619165562093,0.0327594727278
2020/02/28/12:49:46.411612,0.0156734399498,0.0619165562093,0.0327594727278
2020/02/28/12:49:46.444917,0.0156083479524,0.062028169632,0.0329498648643
2020/02/28/12:49:46.478287,0.0156083479524,0.062028169632,0.0329498648643
2020/02/28/12:49:46.511595,0.0156083479524,0.062028169632,0.0329498648643
2020/02/28/12:49:46.544928,0.0155765898526,0.0620779320598,0.0330521464348
2020/02/28/12:49:46.578251,0.0155765898526,0.0620779320598,0.0330521464348
